mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0485419750213623,0.006164640453867882,0.004195642471313476,0.0016958083562467411,4,1,2,50,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8531468531468531,0.8461538461538461,0.795774647887324,0.8098591549295775,0.8309859154929577,0.8271840835221116,0.021610539210573033,41
0.09436297416687012,0.01303418270941065,0.006353187561035156,0.0035221703118624337,4,1,2,100,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8028169014084507,0.8380281690140845,0.828582684920713,0.024642470594594804,33
0.17994942665100097,0.004606627534955172,0.011756372451782227,0.005784002361380009,4,1,2,200,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8028169014084507,0.8380281690140845,0.828582684920713,0.024642470594594804,33
0.0467017650604248,0.007781964642139768,0.0021008014678955077,1.8205315480556266e-05,4,1,5,50,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8531468531468531,0.8461538461538461,0.795774647887324,0.8098591549295775,0.8380281690140845,0.828592534226337,0.022037688725227406,28
0.09033746719360351,0.010430108444844238,0.006450080871582031,0.003198276959767802,4,1,5,100,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8098591549295775,0.8380281690140845,0.8299911356249385,0.02329391806212243,22
0.17903432846069336,0.024288041804613778,0.00886845588684082,0.003067432834661662,4,1,5,200,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8531468531468531,0.8461538461538461,0.795774647887324,0.8028169014084507,0.8450704225352113,0.828592534226337,0.024183597616187286,28
0.04526047706604004,0.006966094682791782,0.002963352203369141,0.0017176667295414102,4,1,10,50,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8098591549295775,0.8309859154929577,0.8285826849207132,0.022976118505007633,32
0.08436384201049804,0.018540961900130513,0.004522562026977539,0.0023474656056001277,4,1,10,100,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8098591549295775,0.8450704225352113,0.8313995863291638,0.023941200531791548,17
0.17451963424682618,0.021047911104988572,0.012934017181396484,0.004739808761140832,4,1,10,200,"{'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8098591549295775,0.8380281690140845,0.8299911356249385,0.02329391806212243,22
0.056413459777832034,0.014234884969395683,0.0020858287811279298,3.870895795838325e-05,4,2,2,50,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8531468531468531,0.8461538461538461,0.795774647887324,0.8028169014084507,0.8309859154929577,0.8257756328178865,0.022885649526947306,61
0.08371438980102539,0.00944717524430507,0.005520009994506836,0.00291945956715968,4,2,2,100,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8531468531468531,0.8461538461538461,0.795774647887324,0.8028169014084507,0.8380281690140845,0.8271840835221116,0.023374446312608772,41
0.1643768310546875,0.01739592309694344,0.009735202789306641,0.005301380108576645,4,2,2,200,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8028169014084507,0.8380281690140845,0.828582684920713,0.024642470594594804,33
0.05394291877746582,0.011111548861761213,0.003398895263671875,0.001243950667195014,4,2,5,50,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8531468531468531,0.8461538461538461,0.795774647887324,0.8028169014084507,0.8380281690140845,0.8271840835221116,0.023374446312608772,41
0.0871037483215332,0.015332822592758762,0.0042629241943359375,0.0021195677775975113,4,2,5,100,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8028169014084507,0.8380281690140845,0.828582684920713,0.024642470594594804,33
0.16784958839416503,0.009568361206177715,0.006926345825195313,0.0025459223105001234,4,2,5,200,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8028169014084507,0.8450704225352113,0.8299911356249383,0.025333639454222085,25
0.044920730590820315,0.010339222957301756,0.0024724483489990236,0.000803131241256088,4,2,10,50,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8028169014084507,0.8309859154929577,0.8271742342164877,0.024260653187914885,52
0.08800215721130371,0.006808385633119816,0.006256484985351562,0.0037751750495096203,4,2,10,100,"{'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8531468531468531,0.8531468531468531,0.795774647887324,0.8028169014084507,0.8380281690140845,0.828582684920713,0.024642470594594804,33
